building_id,rep_point,geohash
13103-bldg-24554,POINT (139.75040020495112 35.669272823453106),xn76uj7hs67
13103-bldg-24607,POINT (139.7504782036062 35.66933970475342),xn76uj7hynv
13103-bldg-24667,POINT (139.75024450852197 35.66942798081932),xn76uj7j2xr
13103-bldg-24634,POINT (139.7503603639425 35.66938763298387),xn76uj7j5rv
13103-bldg-24624,POINT (139.75040858988447 35.66936037319507),xn76uj7jhd9
13103-bldg-24506,POINT (139.75059352432598 35.66920276172909),xn76uj7k0v7
13103-bldg-24562,POINT (139.75061958556427 35.66930207002994),xn76uj7k9ry
13103-bldg-24578,POINT (139.75055726862345 35.669320732395256),xn76uj7kb52
13103-bldg-24547,POINT (139.75068651195522 35.66929298264512),xn76uj7ken0
13103-bldg-24512,POINT (139.7508179271392 35.66921537633566),xn76uj7knpd
13103-bldg-24537,POINT (139.75074251625492 35.66926476451482),xn76uj7ks2f
13103-bldg-24598,POINT (139.75087370901414 35.66934413396194),xn76uj7kzrs
13103-bldg-24676,POINT (139.75057391427782 35.66949200004207),xn76uj7mb7h
13103-bldg-24648,POINT (139.7506841306239 35.669454253072026),xn76uj7mdun
13103-bldg-24620,POINT (139.7508133266137 35.6693643882404),xn76uj7mjgr
13103-bldg-24674,POINT (139.75078709196234 35.6694469029092),xn76uj7mt6g
13103-bldg-24791,POINT (139.75023658550776 35.66960321567601),xn76uj7n2xc
13103-bldg-24749,POINT (139.7503923771236 35.66954964464467),xn76uj7nhjv
13103-bldg-24736,POINT (139.750483675876 35.66952151356249),xn76uj7nn29
13103-bldg-24896,POINT (139.75042922210696 35.669777359194235),xn76uj7pt02
13103-bldg-24833,POINT (139.75069624782884 35.669675482015165),xn76uj7qgjr
13103-bldg-24813,POINT (139.75080482723263 35.669638175086355),xn76uj7qty2
13103-bldg-24796,POINT (139.75088265263122 35.669605518112505),xn76uj7qx86
13103-bldg-24497,POINT (139.75090974079154 35.66919617261297),xn76uj7s0hp
