building_id,rep_point,geohash
13103-bldg-1500,POINT (139.7512620791474 35.669494685996874),xn76uj7vb7t
13103-bldg-11213,POINT (139.75097168865707 35.6696024931679),xn76uj7w3xv
13103-bldg-7497,POINT (139.75105629272215 35.669557985048385),xn76uj7w5xs
13103-bldg-4813,POINT (139.75128091120396 35.66954995587158),xn76uj7y0y5
13101-bldg-4457,POINT (139.7502095089252 35.67036411438855),xn76ujdfzvu
13101-bldg-4461,POINT (139.7500173140979 35.670426236414336),xn76ujdg73m
13101-bldg-4458,POINT (139.75011447210818 35.670397507688826),xn76ujdgjsn
13101-bldg-4464,POINT (139.7502092268869 35.67054358432795),xn76ujdgzzk
13101-bldg-4456,POINT (139.75055940575467 35.67034302999637),xn76uje6b1c
13101-bldg-4452,POINT (139.75120762704984 35.670026320929004),xn76uje8znv
13101-bldg-4453,POINT (139.75096131216208 35.67017520116531),xn76uje9c6t
13101-bldg-4451,POINT (139.75126434800876 35.669995860628816),xn76ujebb3p
13101-bldg-4450,POINT (139.75131238982883 35.669990002580775),xn76ujebc85
13101-bldg-4449,POINT (139.7513547924499 35.669972115478245),xn76ujebdsd
13101-bldg-4454,POINT (139.75132449075772 35.67017060770195),xn76ujecccs
13101-bldg-4448,POINT (139.7514604244517 35.67007447435795),xn76ujecjpc
13101-bldg-4455,POINT (139.7512114529052 35.67020862986029),xn76ujedp2b
13101-bldg-4459,POINT (139.75150196377547 35.67048722707289),xn76ujegwhb
13101-bldg-4469,POINT (139.75043552490442 35.67086220065665),xn76ujejv4t
13101-bldg-4470,POINT (139.7507966259662 35.67073733223264),xn76ujemje6
13101-bldg-4475,POINT (139.7504633518736 35.671171405258946),xn76ujeptu6
13101-bldg-4474,POINT (139.75075883776304 35.671077705222686),xn76ujerhdy
13101-bldg-4467,POINT (139.75091243053478 35.6705594208953),xn76ujes061
13101-bldg-4468,POINT (139.7509676131206 35.670680508382105),xn76ujesc8f
13101-bldg-4460,POINT (139.75121461618508 35.67058397764516),xn76ujespqf
13101-bldg-4471,POINT (139.75100047522176 35.67102605799409),xn76ujewf34
13101-bldg-4477,POINT (139.7501891799381 35.671276551353316),xn76ujfbprv
13101-bldg-4478,POINT (139.75013727411647 35.67130778781089),xn76ujfbqjx
13101-bldg-4472,POINT (139.75083766233857 35.67136790199396),xn76ujg2y8c
13101-bldg-4490,POINT (139.75032437247862 35.67184407479331),xn76ujg5d9d
13101-bldg-4480,POINT (139.75119748841712 35.67148536333426),xn76ujg9qyv
13101-bldg-4482,POINT (139.75107449684387 35.67152959827523),xn76ujg9sp1
13103-bldg-6438,POINT (139.75167297225101 35.66718318425593),xn76ujh06hb
13103-bldg-8228,POINT (139.7517381111323 35.66716727897618),xn76ujh079b
13103-bldg-2134,POINT (139.75184201491075 35.66715176379805),xn76ujh0jyy
